name,description,price,address,locality,region,title,view_om_button
"89 Dodd St East Orange-Office, Retail - For Rent",7200 SF for rent in East Orange NJ  , USD,89 Dodd St,East Orange,New Jersey,,
23 S Essex Ave Orange-Retail - For Rent,1490 SF for rent in Orange NJ  , USD,23 S Essex Ave,Orange,New Jersey,,
613-623 Central Ave East Orange-Retail - For Rent,5000 SF for rent in East Orange NJ  , USD,613-623 Central Ave,East Orange,New Jersey,,
907 S Orange Ave East Orange-Retail - For Rent,2000 SF for rent in East Orange NJ  , USD,907 S Orange Ave,East Orange,New Jersey,,
242 Main St Orange-Retail - For Rent,3120 SF for rent in Orange NJ  , USD,242 Main St,Orange,New Jersey,,
533 Main St East Orange-Retail - For Rent,27000 SF for rent in East Orange NJ  , USD,533 Main St,East Orange,New Jersey,,
20-50 Sussex Ave East Orange-Retail - For Rent,8906 SF for rent in East Orange NJ  , USD,20-50 Sussex Ave,East Orange,New Jersey,,
,"Retail • 10 spaces available • 1,318 sq. ft. - 26,775 sq. ft.",Undisclosed Rate,"553 Main Street East Orange, NJ 07018",,,The Crossings At Brick Church Station Redevelopment,False
,Retail • Single tenant,Undisclosed Rate,"907 S Orange Ave East Orange, NJ 07018",,,907 South Orange Avenue,False
1301-1309 W Broadway-Retail - For Rent,"3741 SF for rent in Centralia IL offered at $3,429  USD /mo",11.00  USD  SF/YR USD,1301-1309 W Broadway,Centralia,Illinois,,
12 Marshall St Irvington-Retail - For Rent,"1100 SF for rent in Irvington NJ offered at $1,833  USD /mo",20.00  USD  SF/YR USD,12 Marshall St,Irvington,New Jersey,,
1200 Clinton Ave Irvington-Retail - For Rent,8613 SF for rent in Irvington NJ  , USD,1200 Clinton Ave,Irvington,New Jersey,,
1545 Springfield Ave Maplewood-Retail - For Rent,3864 SF for rent in Maplewood NJ  , USD,1545 Springfield Ave,Maplewood,New Jersey,,
1057-1059 Springfield Ave Irvington-Retail - For Rent,3693 SF for rent in Irvington NJ  , USD,1057-1059 Springfield Ave,Irvington,New Jersey,,
1102 Clinton Ave Irvington-Retail - For Rent,6556 SF for rent in Irvington NJ  , USD,1102 Clinton Ave,Irvington,New Jersey,,
"1 Bridge St Irvington-Office, Office/Retail - For Rent",8700 SF for rent in Irvington NY offered at $428+  USD /mo,20.00 SF/YR USD,1 Bridge St,Irvington,New York,,
"16-18 N Astor St Irvington-Office, Retail - For Rent",707 SF for rent in Irvington NY  , USD,16-18 N Astor St,Irvington,New York,,
394-428 N Main St Kilmarnock-Retail - For Rent,"7800 SF for rent in Kilmarnock VA offered at $1,200+  USD /mo",9.00  USD  SF/YR USD,394-428 N Main St,Kilmarnock,Virginia,,
100 Old Fairgrounds Way Kilmarnock-Retail - For Rent,"1500 SF for rent in Kilmarnock VA offered at $1,800+  USD /mo",18.00  USD  SF/YR USD,100 Old Fairgrounds Way,Kilmarnock,Virginia,,
180 Westminster Rd Canterbury-Retail - For Rent,1000 SF for rent in Canterbury CT  , USD,180 Westminster Rd,Canterbury,Connecticut,,
"188 Westminster Rd Canterbury-Office, Office/Retail - For Rent",2000 SF for rent in Canterbury CT offered at $825+  USD /mo,9.90 SF/YR USD,188 Westminster Rd,Canterbury,Connecticut,,
,Retail • Single tenant,Undisclosed Rate,"764 Norwich Rd Plainfield, CT 06374",,,764 Norwich Road,False
,"Retail • Single tenant • 1,250 sq. ft.","$1,600/SF/YR","57 Community Ave Plainfield, CT 06374",,,57 Community Ave,False
1201-1311 4th St SW Waverly-Retail - For Rent,2800 SF for rent in Waverly IA  , USD,1201-1311 4th St SW,Waverly,Iowa,,
1810 4th St SW Waverly-Retail - For Rent,"1674 SF for rent in Waverly IA offered at $2,581  USD /mo",18.50  USD  SF/YR USD,1810 4th St SW,Waverly,Iowa,,
16108 S Route 59 Plainfield-Retail - For Rent,"4729 SF for rent in Plainfield IL offered at $5,103  USD /mo",12.95  USD  SF/YR USD,16108 S Route 59,Plainfield,Illinois,,
24522 W Lockport St Plainfield-Retail - For Rent,"6000 SF for rent in Plainfield IL offered at $10,000  USD /mo",20.00  USD  SF/YR USD,24522 W Lockport St,Plainfield,Illinois,,
16007 S Route 59 Plainfield-Office/Retail - For Rent,"1650 SF for rent in Plainfield IL offered at $2,200  USD /mo",16.00  USD  SF/YR USD,16007 S Route 59,Plainfield,Illinois,,
5019 Ace Ln Naperville-Retail - For Rent,"8785 SF for rent in Naperville IL offered at $2,563+  USD /mo",16.00  USD  SF/YR USD,5019 Ace Ln,Naperville,Illinois,,
320-352 S Budler Rd Romeoville-Retail - For Rent,"5055 SF for rent in Romeoville IL offered at $2,500+  USD /mo",12.00  USD  SF/YR USD,320-352 S Budler Rd,Romeoville,Illinois,,
12319-12337 S Route 59 Plainfield-Retail - For Rent,8200 SF for rent in Plainfield IL  , USD,12319-12337 S Route 59,Plainfield,Illinois,,
2735 Hassert Blvd Naperville-Retail - For Rent,953 SF for rent in Naperville IL  , USD,2735 Hassert Blvd,Naperville,Illinois,,
2300-2322 Route 59 Plainfield-Retail - For Rent,1600 SF for rent in Plainfield IL  , USD,2300-2322 Route 59,Plainfield,Illinois,,
3330 W Mall Loop Dr Joliet-Retail - For Rent,4500 SF for rent in Joliet IL  , USD,3330 W Mall Loop Dr,Joliet,Illinois,,
12690 S Route 59 Plainfield-Retail - For Rent,222892 SF for rent in Plainfield IL  , USD,12690 S Route 59,Plainfield,Illinois,,
15412 Route 59 Plainfield-Retail - For Rent,"2500 SF for rent in Plainfield IL offered at $2,325+  USD /mo",18.00 SF/YR USD,15412 Route 59,Plainfield,Illinois,,
,Retail,$20/SF/YR,"12337 S Route 59 Plainfield, IL 60585",,,North Plainfield Crossings Along Route 59 (Chicago MSA),False
,"Retail • Single tenant • 1,650 sq. ft.",$16/SF/YR,"16007 S RT. 59, Ste 102 Plainfield, IL 60586",,,"16007 S RT. 59, Ste 102",False
,Retail,Undisclosed Rate,"14220 S. RTE. 30 Plainfield, IL 60544",,,14220 S. RTE. 30,False
,"Retail • 2 spaces available • 1,800 sq. ft. - 11,640 sq. ft.",Undisclosed Rate,"11830 - 11860 S  Rte 59 Plainfield, IL 60585",,,Plainfield Marketplace,False
,Retail • 2 spaces available • 632 sq. ft. - 668 sq. ft.,Undisclosed Rate,"13521 Illinois Rte 59 Plainfield, IL 60544",,,13521 S Route 59,False
,"Retail • Single tenant • 222,892 sq. ft.",Undisclosed Rate,"12690 Route 59 Plainfield, IL 60585",,,Former Walmart Supercenter,False
,"Retail • 1 space available • 4,729 sq. ft.",$12.95/SF/YR,"16108 Illinois Rte 59 Plainfield, IL 60586",,,16108 S Route 59 Suite 132,False
,"Retail • 2 spaces available • 1,674 sq. ft. - 35,000 sq. ft.",Undisclosed Rate,"2575 E Main St Plainfield, IN 46168",,,Perry Marketplace,False
,"Space of 800 sq. ft. and 4,000 sq. ft. available",Undisclosed Rate,"1702 E Main St Plainfield, IN 46168",,,Plainfield Plaza,False
,"Retail • 2 spaces available • 10,601 sq. ft. - 21,202 sq. ft.",Undisclosed Rate,"Ronald Reagan Pkwy & Stafford Rd Plainfield, IN 46231",,,Gateway Business Center,False
,"Retail • 1 space available • 4,000 sq. ft.",Undisclosed Rate,"2499 Perry Crossing Way Plainfield, IN 46168",,,Former Justice,False
200 Main Street Plainfield-Retail - For Rent,"1718 SF for rent in Plainfield IN offered at $2,863  USD /mo",20.00  USD  SF/YR USD,200 Main Street,Plainfield,Indiana,,
1070 W Main St Plainfield-Retail - For Rent,"2450 SF for rent in Plainfield IN offered at $2,858  USD /mo",14.00  USD  SF/YR USD,1070 W Main St,Plainfield,Indiana,,
581 S Dan Jones Rd Avon-Retail - For Rent,"1400 SF for rent in Avon IN offered at $2,129  USD /mo",18.25  USD  SF/YR USD,581 S Dan Jones Rd,Avon,Indiana,,
Us Highway 40 @ Perry Rd Plainfield-Retail - For Rent,"3600 SF for rent in Plainfield IN offered at $6,000  USD /mo",20.00  USD  SF/YR USD,Us Highway 40 @ Perry Rd,Plainfield,Indiana,,
9747 E US Highway 36 Avon-Retail - For Rent,5000 SF for rent in Avon IN  , USD,9747 E US Highway 36,Avon,Indiana,,
Stafford Rd @ SR 67 Plainfield-Retail - For Rent,1600 SF for rent in Plainfield IN  , USD,Stafford Rd @ SR 67,Plainfield,Indiana,,
1702-1830 E Main St Plainfield-Retail - For Rent,4000 SF for rent in Plainfield IN  , USD,1702-1830 E Main St,Plainfield,Indiana,,
2537 Smith Rd Plainfield-Retail - For Rent,8489 SF for rent in Plainfield IN  , USD,2537 Smith Rd,Plainfield,Indiana,,
12 Centerra Pky Lebanon-Retail - For Rent,"4162 SF for rent in Lebanon NH offered at $4,333+  USD /mo",26.00  USD  SF/YR USD,12 Centerra Pky,Lebanon,New Hampshire,,
"1 River Park Drive W Lebanon-Office/Medical, Office/Retail, Retail - For Rent","17990 SF for rent in W Lebanon NH offered at $13,698+  USD /mo",25.00 SF/YR USD,1 River Park Drive,W Lebanon,New Hampshire,,
267 Plainfield Rd West Lebanon-Retail - For Rent,"2011 SF for rent in West Lebanon NH offered at $2,600+  USD /mo",26.00  USD  SF/YR USD,267 Plainfield Rd,West Lebanon,New Hampshire,,
10 Benning St West Lebanon-Retail - For Rent,11726 SF for rent in West Lebanon NH  , USD,10 Benning St,West Lebanon,New Hampshire,,
254 Plainfield Rd West Lebanon-Retail - For Rent,6660 SF for rent in West Lebanon NH  , USD,254 Plainfield Rd,West Lebanon,New Hampshire,,
1314-1326 South Ave Plainfield-Retail - For Rent,"1400 SF for rent in Plainfield NJ offered at $2,800  USD /mo",24.00  USD  SF/YR USD,1314-1326 South Ave,Plainfield,New Jersey,,
2 South Ave Fanwood-Retail - For Rent,7296 SF for rent in Fanwood NJ  , USD,2 South Ave,Fanwood,New Jersey,,
601-613 US Highway 22 North Plainfield-Retail - For Rent,1000 SF for rent in North Plainfield NJ  , USD,601-613 US Highway 22,North Plainfield,New Jersey,,
218 South Ave Fanwood-Retail - For Rent,2527 SF for rent in Fanwood NJ  , USD,218 South Ave,Fanwood,New Jersey,,
226-234 South Ave Fanwood-Retail - For Rent,1400 SF for rent in Fanwood NJ  , USD,226-234 South Ave,Fanwood,New Jersey,,
328 South Ave Fanwood-Retail - For Rent,2966 SF for rent in Fanwood NJ  , USD,328 South Ave,Fanwood,New Jersey,,
100 S Washington Ave Dunellen-Retail - For Rent,4000 SF for rent in Dunellen NJ  , USD,100 S Washington Ave,Dunellen,New Jersey,,
"233 North Ave Dunellen-Office/Retail, Retail - For Rent",9700 SF for rent in Dunellen NJ  , USD,233 North Ave,Dunellen,New Jersey,,
250-256 South Ave Fanwood-Retail - For Rent,3096 SF for rent in Fanwood NJ  , USD,250-256 South Ave,Fanwood,New Jersey,,
"211 W Front St Plainfield-Office/Retail, Retail - For Rent",2440 SF for rent in Plainfield NJ  , USD,211 W Front St,Plainfield,New Jersey,,
330 South Ave Fanwood-Office/Retail - For Rent,"12000 SF for rent in Fanwood NJ offered at $29,000  USD /mo",29.00  USD  SF/YR USD,330 South Ave,Fanwood,New Jersey,,
1369-1403 South Ave Plainfield-Retail - For Rent,1700 SF for rent in Plainfield NJ  , USD,1369-1403 South Ave,Plainfield,New Jersey,,
